ISO,Country,Variable,Year,wacc,is_solar,is_wind_onshore,is_wind_offshore
ARG,Argentina,wacc,2023,0.4252549999999999,1,0,0
ARG,Argentina,wacc,2020,0.09300000000000001,0,1,0
AUS,Australia,wacc,2023,0.05049,1,0,0
AUS,Australia,wacc,2020,0.05459363,0,1,0
AUS,Australia,wacc,2020,0.04583333333333333,1,0,0
AUT,Austria,wacc,2014,0.065,0,1,0
AUT,Austria,wacc,2019,0.04385,0,1,0
AUT,Austria,wacc,2018,0.06136666666666666,0,1,0
AUT,Austria,wacc,2013,0.065,0,1,0
AUT,Austria,wacc,2015,0.0625,0,1,0
AUT,Austria,wacc,2015,0.04,1,0,0
AUT,Austria,wacc,2020,0.0611,1,0,0
TUN,Tunisia,wacc,2023,0.343475,1,0,0
BGD,Bangladesh,wacc,2023,0.170225,1,0,0
BEL,Belgium,wacc,2014,0.055,0,1,0
BEL,Belgium,wacc,2019,0.03716666666666667,0,1,0
BEL,Belgium,wacc,2019,0.03875,0,0,1
BEL,Belgium,wacc,2013,0.055,0,1,0
BEL,Belgium,wacc,2015,0.054,0,1,0
BEL,Belgium,wacc,2012,0.029,0,1,0
BEL,Belgium,wacc,2012,0.0675,0,0,1
BEL,Belgium,wacc,2012,0.038,1,0,0
BOL,Bolivia,wacc,2023,0.212025,1,0,0
ZMB,Zambia,wacc,2023,0.37546,1,0,0
BRA,Brazil,wacc,2023,0.102636,1,0,0
BRA,Brazil,wacc,2013,0.048,1,0,0
BRA,Brazil,wacc,2014,0.057,1,0,0
BRA,Brazil,wacc,2015,0.054,1,0,0
BRA,Brazil,wacc,2019,0.1225,1,0,0
BRA,Brazil,wacc,2021,0.13,1,0,0
BRA,Brazil,wacc,2022,0.1125,1,0,0
BRA,Brazil,wacc,2022,0.11,0,0,1
BRA,Brazil,wacc,2020,0.07615,1,0,0
BRA,Brazil,wacc,2020,0.06816666666666667,0,1,0
BGR,Bulgaria,wacc,2014,0.1,0,1,0
BGR,Bulgaria,wacc,2019,0.055,0,1,0
BGR,Bulgaria,wacc,2019,0.055,1,0,0
BGR,Bulgaria,wacc,2013,0.1,0,1,0
BGR,Bulgaria,wacc,2015,0.0825,0,1,0
BGR,Bulgaria,wacc,2015,0.0825,1,0,0
BGR,Bulgaria,wacc,2020,0.0911,1,0,0
KHM,Cambodia,wacc,2023,0.20742,1,0,0
KHM,Cambodia,wacc,2016,0.1,1,0,0
ZAF,South Africa,wacc,2011,0.214,1,0,0
CHL,Chile,wacc,2023,0.105031,1,0,0
CHL,Chile,wacc,2016,0.041,1,0,0
CHL,Chile,wacc,2015,0.043,1,0,0
CHL,Chile,wacc,2020,0.05746,1,0,0
CHL,Chile,wacc,2020,0.06313333333333332,0,1,0
CHN,China,wacc,2020,0.03905,1,0,0
CHN,China,wacc,2020,0.0278,0,0,1
CHN,China,wacc,2020,0.03,0,1,0
CHN,China,wacc,2016,0.07523333333333333,1,0,0
CHN,China,wacc,2014,0.0618,0,1,0
CHN,China,wacc,2015,0.058,0,1,0
CHN,China,wacc,2016,0.053,0,1,0
CHN,China,wacc,2017,0.0512,0,1,0
CHN,China,wacc,2018,0.0548,0,1,0
CHN,China,wacc,2019,0.0572,0,1,0
CHN,China,wacc,2014,0.0834,1,0,0
CHN,China,wacc,2015,0.0932,1,0,0
CHN,China,wacc,2017,0.0843,1,0,0
CHN,China,wacc,2018,0.0848,1,0,0
CHN,China,wacc,2019,0.0866,1,0,0
COL,Colombia,wacc,2020,0.0596,0,1,0
CRI,Costa Rica,wacc,2023,0.18033,1,0,0
CRI,Costa Rica,wacc,2020,0.0679,1,0,0
HRV,Croatia,wacc,2014,0.12,0,1,0
HRV,Croatia,wacc,2019,0.07833333333333334,0,1,0
HRV,Croatia,wacc,2013,0.12,0,1,0
HRV,Croatia,wacc,2015,0.07833333333333332,1,0,0
HRV,Croatia,wacc,2015,0.08180000000000001,0,1,0
HRV,Croatia,wacc,2020,0.0577,1,0,0
HRV,Croatia,wacc,2020,0.0597,0,1,0
CYP,Cyprus,wacc,2014,0.1,0,1,0
CYP,Cyprus,wacc,2019,0.052,0,1,0
CYP,Cyprus,wacc,2019,0.05,1,0,0
CYP,Cyprus,wacc,2013,0.1,0,1,0
CYP,Cyprus,wacc,2015,0.1,0,1,0
CYP,Cyprus,wacc,2015,0.1,1,0,0
CZE,Czechia,wacc,2014,0.08,0,1,0
CZE,Czechia,wacc,2019,0.06,0,1,0
CZE,Czechia,wacc,2018,0.06,0,1,0
CZE,Czechia,wacc,2018,0.05499999999999999,1,0,0
CZE,Czechia,wacc,2019,0.05499999999999999,1,0,0
CZE,Czechia,wacc,2013,0.08,0,1,0
CZE,Czechia,wacc,2015,0.08,0,1,0
CZE,Czechia,wacc,2015,0.07300000000000001,1,0,0
DNK,Denmark,wacc,2014,0.058,0,1,0
DNK,Denmark,wacc,2019,0.025,0,1,0
DNK,Denmark,wacc,2013,0.0575,0,1,0
DNK,Denmark,wacc,2015,0.049875,0,1,0
DNK,Denmark,wacc,2015,0.045,1,0,0
DNK,Denmark,wacc,2010,0.05059999999999998,0,1,0
DNK,Denmark,wacc,2016,0.03224000000000005,0,1,0
DNK,Denmark,wacc,2020,0.03285,1,0,0
DNK,Denmark,wacc,2020,0.04769999999999999,0,0,1
DNK,Denmark,wacc,2020,0.03192,0,1,0
DNK,Denmark,wacc,2017,0.047,0,1,0
DNK,Denmark,wacc,2012,0.09,0,0,1
DNK,Denmark,wacc,2008,0.052,0,1,0
DNK,Denmark,wacc,2008,0.092,0,0,1
EGY,Egypt,wacc,2023,0.2653375,1,0,0
BHR,Bahrain,wacc,2023,0.2518,1,0,0
SLV,El Salvador,wacc,2014,0.048,1,0,0
EST,Estonia,wacc,2014,0.097,0,1,0
EST,Estonia,wacc,2019,0.08064166666666667,0,1,0
EST,Estonia,wacc,2019,0.07209583333333333,1,0,0
EST,Estonia,wacc,2013,0.097,0,1,0
EST,Estonia,wacc,2015,0.08449999999999999,1,0,0
EST,Estonia,wacc,2015,0.08183333333333333,0,1,0
FIN,Finland,wacc,2014,0.065,0,1,0
FIN,Finland,wacc,2019,0.0425,0,1,0
FIN,Finland,wacc,2018,0.04,0,1,0
FIN,Finland,wacc,2013,0.065,0,1,0
FIN,Finland,wacc,2015,0.038,0,1,0
FIN,Finland,wacc,2015,0.06,1,0,0
FIN,Finland,wacc,2020,0.03693333333333333,0,1,0
FRA,France,wacc,2014,0.057,0,1,0
FRA,France,wacc,2019,0.0409125,1,0,0
FRA,France,wacc,2018,0.0395375,1,0,0
FRA,France,wacc,2018,0.03133333333333333,0,1,0
FRA,France,wacc,2019,0.02993333333333334,0,1,0
FRA,France,wacc,2018,0.0425,0,0,1
FRA,France,wacc,2019,0.04125,0,0,1
FRA,France,wacc,2015,0.05116666666666667,0,1,0
FRA,France,wacc,2016,0.05,0,1,0
FRA,France,wacc,2017,0.05,0,1,0
FRA,France,wacc,2023,0.061511175,1,0,0
FRA,France,wacc,2013,0.057,0,1,0
FRA,France,wacc,2015,0.0425,1,0,0
FRA,France,wacc,2012,0.133,1,0,0
FRA,France,wacc,2014,0.138,1,0,0
FRA,France,wacc,2016,0.037,1,0,0
FRA,France,wacc,2020,0.0335,1,0,0
FRA,France,wacc,2020,0.0355,0,0,1
FRA,France,wacc,2020,0.0299,0,1,0
DEU,Germany,wacc,2014,0.038,0,1,0
DEU,Germany,wacc,2019,0.01916666666666667,0,1,0
DEU,Germany,wacc,2018,0.01896666666666667,0,1,0
DEU,Germany,wacc,2017,0.043,0,1,0
DEU,Germany,wacc,2017,0.06,0,0,1
DEU,Germany,wacc,2018,0.06,0,0,1
DEU,Germany,wacc,2023,0.03863156400000001,1,0,0
DEU,Germany,wacc,2013,0.039,0,1,0
DEU,Germany,wacc,2015,0.03175,0,1,0
DEU,Germany,wacc,2015,0.035625,1,0,0
DEU,Germany,wacc,2010,0.04881,0,1,0
DEU,Germany,wacc,2016,0.03012999999999992,0,1,0
DEU,Germany,wacc,2017,0.009000000000000001,1,0,0
DEU,Germany,wacc,2010,0.046,1,0,0
DEU,Germany,wacc,2012,0.037,1,0,0
DEU,Germany,wacc,2013,0.042,1,0,0
DEU,Germany,wacc,2016,0.029,1,0,0
DEU,Germany,wacc,2019,0.021,1,0,0
DEU,Germany,wacc,2020,0.01831,1,0,0
DEU,Germany,wacc,2020,0.03175,0,0,1
DEU,Germany,wacc,2020,0.02435714285714285,0,1,0
DEU,Germany,wacc,2014,0.05,0,0,1
DEU,Germany,wacc,2018,0.0155,1,0,0
DEU,Germany,wacc,2012,0.09,0,0,1
DEU,Germany,wacc,2008,0.062,0,1,0
DEU,Germany,wacc,2009,0.058,0,1,0
DEU,Germany,wacc,2011,0.047,0,1,0
DEU,Germany,wacc,2012,0.039,0,1,0
DEU,Germany,wacc,2008,0.077,0,0,1
UGA,Uganda,wacc,2023,0.25538,1,0,0
GRC,Greece,wacc,2014,0.1275,0,1,0
GRC,Greece,wacc,2015,0.1086666666666666,0,1,0
GRC,Greece,wacc,2016,0.11,0,1,0
GRC,Greece,wacc,2014,0.138,1,0,0
GRC,Greece,wacc,2015,0.161,1,0,0
GRC,Greece,wacc,2016,0.095,1,0,0
GRC,Greece,wacc,2018,0.062,0,1,0
GRC,Greece,wacc,2019,0.062,0,1,0
GRC,Greece,wacc,2018,0.06,1,0,0
GRC,Greece,wacc,2019,0.06,1,0,0
GRC,Greece,wacc,2023,0.146238,1,0,0
GRC,Greece,wacc,2013,0.12,0,1,0
GRC,Greece,wacc,2020,0.04785,1,0,0
GRC,Greece,wacc,2020,0.0384,0,1,0
GTM,Guatemala,wacc,2014,0.085,1,0,0
HUN,Hungary,wacc,2014,0.113,0,1,0
HUN,Hungary,wacc,2018,0.05656458333333333,1,0,0
HUN,Hungary,wacc,2019,0.05493005952380953,1,0,0
HUN,Hungary,wacc,2019,0.0463175,0,1,0
HUN,Hungary,wacc,2023,0.139358,1,0,0
HUN,Hungary,wacc,2013,0.113,0,1,0
HUN,Hungary,wacc,2015,0.0835,0,1,0
HUN,Hungary,wacc,2015,0.074,1,0,0
HUN,Hungary,wacc,2020,0.1843,1,0,0
IND,India,wacc,2016,0.1053666666666667,1,0,0
IND,India,wacc,2017,0.08310000000000001,1,0,0
IND,India,wacc,2017,0.1014,0,1,0
IND,India,wacc,2023,0.10746,1,0,0
IND,India,wacc,2013,0.0875,1,0,0
IND,India,wacc,2014,0.108,1,0,0
IND,India,wacc,2015,0.1055,1,0,0
IND,India,wacc,2011,0.097,1,0,0
IND,India,wacc,2012,0.115,1,0,0
IND,India,wacc,2018,0.11,1,0,0
IND,India,wacc,2019,0.0935,1,0,0
IND,India,wacc,2021,0.0975,1,0,0
IND,India,wacc,2022,0.095,1,0,0
IND,India,wacc,2020,0.07083333333333333,1,0,0
IND,India,wacc,2020,0.08380000000000001,0,1,0
IND,India,wacc,2015,0.108,0,1,0
IND,India,wacc,2010,0.107,0,1,0
IDN,Indonesia,wacc,2023,0.09378600000000001,1,0,0
IDN,Indonesia,wacc,2019,0.0925,1,0,0
IDN,Indonesia,wacc,2021,0.1,1,0,0
IDN,Indonesia,wacc,2022,0.0825,1,0,0
IRL,Ireland,wacc,2014,0.09,0,1,0
IRL,Ireland,wacc,2019,0.0775,0,1,0
IRL,Ireland,wacc,2018,0.0775,0,0,1
IRL,Ireland,wacc,2013,0.09,0,1,0
IRL,Ireland,wacc,2015,0.08583333333333333,0,1,0
IRL,Ireland,wacc,2015,0.0775,1,0,0
IRL,Ireland,wacc,2010,0.07304,0,1,0
IRL,Ireland,wacc,2016,0.06589999999999985,0,1,0
IRL,Ireland,wacc,2020,0.0993,1,0,0
IRL,Ireland,wacc,2020,0.03255,0,1,0
OMN,Oman,wacc,2023,0.177005,1,0,0
ITA,Italy,wacc,2014,0.08,0,1,0
ITA,Italy,wacc,2019,0.05025,0,1,0
ITA,Italy,wacc,2018,0.0644,0,1,0
ITA,Italy,wacc,2023,0.11021828,1,0,0
ITA,Italy,wacc,2013,0.08,0,1,0
ITA,Italy,wacc,2015,0.07083333333333335,0,1,0
ITA,Italy,wacc,2015,0.085,1,0,0
ITA,Italy,wacc,2017,0.0469771275,1,0,0
ITA,Italy,wacc,2017,0.043072543,0,1,0
ITA,Italy,wacc,2020,0.043325,1,0,0
ITA,Italy,wacc,2020,0.04425,0,1,0
JAM,Jamaica,wacc,2023,0.168225,1,0,0
JAM,Jamaica,wacc,2016,0.039,1,0,0
JOR,Jordan,wacc,2013,0.162,1,0,0
MAR,Morocco,wacc,2020,0.0907,1,0,0
MLT,Malta,wacc,2015,0.091,1,0,0
MOZ,Mozambique,wacc,2023,0.271028,1,0,0
SEN,Senegal,wacc,2023,0.19455,1,0,0
TZA,Tanzania,wacc,2023,0.20689,1,0,0
LVA,Latvia,wacc,2014,0.093,0,1,0
LVA,Latvia,wacc,2018,0.121,1,0,0
LVA,Latvia,wacc,2019,0.121,1,0,0
LVA,Latvia,wacc,2018,0.0908,0,1,0
LVA,Latvia,wacc,2019,0.0908,0,1,0
LVA,Latvia,wacc,2013,0.093,0,1,0
LVA,Latvia,wacc,2015,0.121,0,1,0
LVA,Latvia,wacc,2015,0.121,1,0,0
LTU,Lithuania,wacc,2014,0.085,0,1,0
LTU,Lithuania,wacc,2016,0.06,0,1,0
LTU,Lithuania,wacc,2019,0.095,0,1,0
LTU,Lithuania,wacc,2018,0.08,0,1,0
LTU,Lithuania,wacc,2013,0.085,0,1,0
LTU,Lithuania,wacc,2015,0.065225,0,1,0
LTU,Lithuania,wacc,2015,0.08913333333333333,1,0,0
MYS,Malaysia,wacc,2020,0.0561,1,0,0
MYS,Malaysia,wacc,2016,0.1,1,0,0
TUN,Tunisia,wacc,2020,0.1075,1,0,0
MAR,Morocco,wacc,2023,0.106228,1,0,0
ZAF,South Africa,wacc,2023,0.181133,1,0,0
MEX,Mexico,wacc,2016,0.045,1,0,0
MEX,Mexico,wacc,2019,0.0975,1,0,0
MEX,Mexico,wacc,2021,0.0975,1,0,0
MEX,Mexico,wacc,2022,0.11,1,0,0
MEX,Mexico,wacc,2020,0.08746666666666668,1,0,0
MEX,Mexico,wacc,2020,0.0429,0,1,0
SAU,Saudi Arabia,wacc,2023,0.09498,1,0,0
MLT,Malta,wacc,2013,0.071,0,1,0
EGY,Egypt,wacc,2020,0.0971,1,0,0
JOR,Jordan,wacc,2020,0.08959999999999999,1,0,0
CMR,Cameroon,wacc,2023,0.21674,1,0,0
NGA,Nigeria,wacc,2023,0.21588,1,0,0
NLD,Netherlands,wacc,2014,0.064,0,1,0
NLD,Netherlands,wacc,2023,0.0531312,1,0,0
NLD,Netherlands,wacc,2018,0.05300000000000001,0,1,0
NLD,Netherlands,wacc,2018,0.055,1,0,0
NLD,Netherlands,wacc,2019,0.04833333333333334,0,1,0
NLD,Netherlands,wacc,2019,0.0465,0,0,1
NLD,Netherlands,wacc,2019,0.055,1,0,0
NLD,Netherlands,wacc,2020,0.02385,0,1,0
NLD,Netherlands,wacc,2020,0.02208,1,0,0
NLD,Netherlands,wacc,2012,0.11,0,0,1
NLD,Netherlands,wacc,2008,0.06,0,1,0
NAM,Namibia,wacc,2023,0.177432,1,0,0
NOR,Norway,wacc,2023,0.04681800000000001,1,0,0
NOR,Norway,wacc,2010,0.07610000000000006,0,1,0
NOR,Norway,wacc,2016,0.04957999999999996,0,1,0
NOR,Norway,wacc,2020,0.0478,0,1,0
ISR,Israel,wacc,2023,0.06384,1,0,0
PAK,Pakistan,wacc,2020,0.06440000000000001,1,0,0
PAN,Panama,wacc,2023,0.129825,1,0,0
PRY,Paraguay,wacc,2023,0.1563,1,0,0
PER,Peru,wacc,2023,0.1216395,1,0,0
PER,Peru,wacc,2015,0.043,1,0,0
PER,Peru,wacc,2016,0.029,1,0,0
PER,Peru,wacc,2020,0.0788,0,1,0
POL,Poland,wacc,2014,0.094,0,1,0
POL,Poland,wacc,2018,0.0457,0,1,0
POL,Poland,wacc,2019,0.0457,0,1,0
POL,Poland,wacc,2013,0.0935,0,1,0
POL,Poland,wacc,2015,0.08,0,1,0
POL,Poland,wacc,2015,0.08,1,0,0
POL,Poland,wacc,2020,0.05470000000000001,1,0,0
POL,Poland,wacc,2020,0.0577,0,1,0
PRT,Portugal,wacc,2014,0.08,0,1,0
PRT,Portugal,wacc,2019,0.05166666666666667,1,0,0
PRT,Portugal,wacc,2018,0.05273333333333333,0,1,0
PRT,Portugal,wacc,2018,0.05273333333333333,1,0,0
PRT,Portugal,wacc,2019,0.05166666666666667,0,1,0
PRT,Portugal,wacc,2013,0.08,0,1,0
PRT,Portugal,wacc,2015,0.07250000000000001,0,1,0
PRT,Portugal,wacc,2015,0.065,1,0,0
PRT,Portugal,wacc,2020,0.1003,1,0,0
ROU,Romania,wacc,2014,0.111,0,1,0
ROU,Romania,wacc,2018,0.07500000000000001,1,0,0
ROU,Romania,wacc,2019,0.0775,1,0,0
ROU,Romania,wacc,2018,0.0775,0,1,0
ROU,Romania,wacc,2019,0.0775,0,1,0
ROU,Romania,wacc,2013,0.111,0,1,0
ROU,Romania,wacc,2015,0.0734,0,1,0
ROU,Romania,wacc,2015,0.0734,1,0,0
ROU,Romania,wacc,2020,0.07175,1,0,0
ARE,United Arab Emirates,wacc,2023,0.06646500000000001,1,0,0
ARE,United Arab Emirates,wacc,2017,0.0535,1,0,0
GHA,Ghana,wacc,2023,0.204075,1,0,0
ZAF,South Africa,wacc,2021,0.1025,1,0,0
SGP,Singapore,wacc,2020,0.0546,1,0,0
SVK,Slovakia,wacc,2014,0.081,0,1,0
SVK,Slovakia,wacc,2018,0.055,1,0,0
SVK,Slovakia,wacc,2019,0.055,1,0,0
SVK,Slovakia,wacc,2013,0.081,0,1,0
SVK,Slovakia,wacc,2015,0.05166666666666667,1,0,0
SVK,Slovakia,wacc,2015,0.0475,0,1,0
SVN,Slovenia,wacc,2014,0.11,0,1,0
SVN,Slovenia,wacc,2018,0.045,0,1,0
SVN,Slovenia,wacc,2013,0.11,0,1,0
SVN,Slovenia,wacc,2015,0.08510000000000001,1,0,0
SVN,Slovenia,wacc,2015,0.08896666666666668,0,1,0
ZAF,South Africa,wacc,2019,0.1025,1,0,0
MUS,Mauritius,wacc,2023,0.126255,1,0,0
ZAF,South Africa,wacc,2012,0.078,1,0,0
BWA,Botswana,wacc,2023,0.09687,1,0,0
ZAF,South Africa,wacc,2020,0.07513333333333333,0,1,0
ZAF,South Africa,wacc,2022,0.11,1,0,0
ZAF,South Africa,wacc,2020,0.0689,1,0,0
ZAF,South Africa,wacc,2013,0.072,1,0,0
UGA,Uganda,wacc,2020,0.0797,1,0,0
KEN,Kenya,wacc,2020,0.0716,0,1,0
ESP,Spain,wacc,2014,0.1,0,1,0
ESP,Spain,wacc,2019,0.05166666666666667,1,0,0
ESP,Spain,wacc,2018,0.05273333333333333,1,0,0
ESP,Spain,wacc,2018,0.05273333333333333,0,1,0
ESP,Spain,wacc,2019,0.05166666666666667,0,1,0
ESP,Spain,wacc,2013,0.1,0,1,0
ESP,Spain,wacc,2015,0.07625,0,1,0
ESP,Spain,wacc,2020,0.04739285714285714,1,0,0
ESP,Spain,wacc,2020,0.0676,0,0,1
ESP,Spain,wacc,2020,0.04255,0,1,0
ESP,Spain,wacc,2008,0.059,0,1,0
LKA,Sri Lanka,wacc,2023,0.31779,1,0,0
SWE,Sweden,wacc,2014,0.082,0,1,0
SWE,Sweden,wacc,2018,0.05533333333333333,0,1,0
SWE,Sweden,wacc,2019,0.059,0,1,0
SWE,Sweden,wacc,2023,0.0467972,1,0,0
SWE,Sweden,wacc,2013,0.082,0,1,0
SWE,Sweden,wacc,2015,0.018,1,0,0
SWE,Sweden,wacc,2015,0.0725,0,1,0
SWE,Sweden,wacc,2020,0.0323,1,0,0
SWE,Sweden,wacc,2020,0.0405,0,1,0
SWE,Sweden,wacc,2008,0.047,0,1,0
SWE,Sweden,wacc,2010,0.07610000000000006,0,1,0
SWE,Sweden,wacc,2016,0.05264000000000002,0,1,0
CHE,Switzerland,wacc,2017,0.0397,0,1,0
CHE,Switzerland,wacc,2008,0.049,0,1,0
TWN,"Taiwan, China",wacc,2020,0.0603,0,0,1
ZAF,South Africa,wacc,2015,0.0685,1,0,0
THA,Thailand,wacc,2016,0.115,1,0,0
NLD,Netherlands,wacc,2020,0.033,0,1,0
NLD,Netherlands,wacc,2019,0.0465,0,0,1
NLD,Netherlands,wacc,2018,0.05300000000000001,0,1,0
NLD,Netherlands,wacc,2018,0.055,1,0,0
NLD,Netherlands,wacc,2019,0.04833333333333334,0,1,0
NLD,Netherlands,wacc,2019,0.055,1,0,0
NLD,Netherlands,wacc,2013,0.0633,0,1,0
NLD,Netherlands,wacc,2015,0.0425,0,1,0
SAU,Saudi Arabia,wacc,2017,0.042,1,0,0
MAR,Morocco,wacc,2018,0.05552,0,1,0
SEN,Senegal,wacc,2022,0.09,1,0,0
KEN,Kenya,wacc,2020,0.0691,1,0,0
UGA,Uganda,wacc,2014,0.066,1,0,0
UKR,Ukraine,wacc,2020,0.1385,1,0,0
UKR,Ukraine,wacc,2020,0.1385,0,1,0
ARE,United Arab Emirates,wacc,2014,0.05,1,0,0
ARE,United Arab Emirates,wacc,2016,0.039,1,0,0
ARE,United Arab Emirates,wacc,2015,0.036,1,0,0
MAR,Morocco,wacc,2018,0.0425276,1,0,0
JOR,Jordan,wacc,2015,0.057,1,0,0
URY,Uruguay,wacc,2020,0.042,0,1,0
USA,USA,wacc,2023,0.058440072,1,0,0
USA,USA,wacc,2010,0.06692000000000009,0,1,0
USA,USA,wacc,2016,0.05977999999999994,0,1,0
USA,USA,wacc,2017,0.03,1,0,0
USA,USA,wacc,2018,0.031,1,0,0
USA,USA,wacc,2020,0.06244812,1,0,0
USA,USA,wacc,2020,0.05192,0,0,1
USA,USA,wacc,2020,0.05143333333333334,0,1,0
USA,USA,wacc,2017,0.06,0,1,0
USA,USA,wacc,2015,0.061,0,1,0
USA,USA,wacc,2008,0.075,0,1,0
VEN,Venezuela,wacc,2023,0.245862,1,0,0
VNM,Vietnam,wacc,2023,0.1366,1,0,0
VNM,Vietnam,wacc,2022,0.0975,1,0,0
VNM,Vietnam,wacc,2022,0.1125,0,0,1
VNM,Vietnam,wacc,2020,0.069075,1,0,0
VNM,Vietnam,wacc,2020,0.0808,0,0,1
VNM,Vietnam,wacc,2020,0.06756666666666666,0,1,0
VNM,Vietnam,wacc,2016,0.1,1,0,0
YEM,Yemen,wacc,2020,0.0964,1,0,0
KEN,Kenya,wacc,2022,0.0875,1,0,0
ZMB,Zambia,wacc,2016,0.038,1,0,0
